,open,high,low,close,volume,date
count,1594.0,1594.0,1594.0,1594.0,1594.0,1594
mean,0.01558559661229611,0.016340204516938517,0.014812580301129233,0.015576918444165621,24395373175.6261,2023-07-15 12:00:00
min,0.005882,0.006233,0.004,0.005882,785792217.0,2021-05-10 00:00:00
25%,0.009131750000000001,0.009471499999999999,0.008824499999999999,0.0091315,9773769699.5,2022-06-12 06:00:00
50%,0.0123085,0.012722500000000001,0.011911,0.012308,15189558805.0,2023-07-15 12:00:00
75%,0.020146,0.0209965,0.0185585,0.02011,25263840158.0,2024-08-16 18:00:00
max,0.078997,0.089575,0.0665,0.079004,450992288191.0,2025-09-19 00:00:00
std,0.009397091628836117,0.010210063856159133,0.008596155477200947,0.009392718558504263,33656438850.243748,
log_min,-5.135858438850334,-5.077897521155424,-5.521460917862246,-5.135858438850334,20.482202960483715,
log_max,-2.5383454019197162,-2.4126790157911193,-2.7105533313203285,-2.5382567948855255,26.834716076948126,
